Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,Municipality,Total Length,Total Width,No of Spans,Bridge Type,Construction Date
B2219,Great Brak River,Bridge,Bridge,11/7/2019,TR00209,0.88,Mossel Bay,104,8.4,10,Simply supported,1/1/2000
B2221,Maalgaten River,Bridge,Bridge - Arch,11/8/2019,TR00209,15.1,George,78.9,7.3,3,Arch,1/1/1940
B2231,BRIDGE OVER GOUKAMMA RIVER,Bridge,Bridge,11/28/2019,OP06916,0.18,Knysna,48.3,7.86,3,Simply supported,1/1/1946
B2233,WITBRUG OVER KNYSNA LAGOON - NORTHBOUND,Bridge,Bridge,1/23/2020,TR00210,54.76,Knysna,,,5,,1/1/1951
B2237A,SALT RIVER,Bridge,Bridge - Arch,10/30/2019,TR00212,15.09,Bitou,46.9,8.45,14,Arch,
B2238,BRIDGE OVER GROOT RIVER,Bridge,Bridge,10/31/2019,TR00212,25.97,Bitou,65,7.68,13,Simply supported,1/1/1950
B2239,BLAAUWKRANTZ RIVER,Bridge,Bridge - Arch,11/2/2019,TR00212,37.25,Bitou,35,7.4,2,Arch,1/1/1951
B2361,BREEDE RIVER AT NIEUWDRIFT,Bridge,Bridge,11/7/2019,TR00902,45.25,Breede Vallei,193.2,8.2,12,Simply supported,1/1/1948
B2362,BREEDE RIVER AT AMANDEL SPRUIT,Bridge,Bridge,11/7/2019,TR00902,46,Breede Vallei,64.1,8.2,4,Simply supported,1/1/1949
B2363,BREEDE RIVER AT BOTHAS SPRUIT,Bridge,Bridge,11/7/2019,TR00902,46.33,Breede Vallei,129.6,8.3,8,Simply supported,1/1/1949
B2364,HARTEBEEST RIVER BRIDGE,Bridge,Bridge,10/31/2019,TR00902,50.55,Breede Vallei,26.6,8.5,4,Simply supported,1/1/1945
B2365,ROAD OVER RAIL AT HARTEBEESTKRAAL,Bridge,Bridge,10/31/2019,TR06902,51.6,Breede Vallei,13.2,9.8,1,Simply supported,1/1/1949
B2414,BRIDGE OVER DIEP RIVER KLEIN VISSERSHOK ROAD,Bridge,Bridge,6/28/2021,YOP00089,0.27,City of Cape Town (LMB),,,18,,
B2420,DARLING ROAD INTERCHANGE NBC,Bridge,Bridge,8/28/2001,TR01101,52.46,,13.9,14.3,1,Unknown,1/1/1961
B2420A,DARLING ROAD INTERCHANGE SBC,Bridge,Bridge,8/28/2001,TR01101,52.46,,13.9,11.4,1,Unknown,1/1/1958
B2422,KROMSPRUIT NO 1,Bridge,Bridge,11/7/2001,TR01102,14.89,,13.5,12.7,2,Simply supported,1/1/1959
B2423,KROMSPRUIT NO 2,Bridge,Bridge,10/9/2001,TR01102,18.3,,19.9,12.7,3,Simply supported,1/1/1959
B2424,KROMSPRUIT NO 3,Bridge,Bridge,11/7/2003,TR01102,18.92,,13.8,11.7,2,Simply supported,1/1/1961
B2427,ROAD OVER RAIL NEAR RIETFONTEIN,Bridge,Bridge,11/18/2019,MR00527+,1.82,Bergrivier,30.2,8,3,Simply supported,1/1/1941
B2429,MARKUSKRAAL RIVER,Bridge,Bridge,11/7/2003,TR01104,63.13,,29.5,8.7,3,Simply supported,1/1/1953
B2430,ELANDSKLOOF RIVER,Bridge,Bridge,11/5/2001,TR01104,67.36,,13.9,11,2,Simply supported,1/1/1954
B2431,KRANSVLEI RIVER,Bridge,Bridge,11/7/2003,TR01104,89.22,,17.3,10.8,2,Simply supported,1/1/1958
B2432,WELGEMEENT CANAL NO 1,Bridge,Bridge,11/6/2001,TR01105,34.51,,11.4,11.75,1,Simply supported,1/1/1962
B2433,WELGEMEENT CANAL NO 2,Bridge,Bridge,11/6/2001,TR01105,34.59,,11.4,11.75,1,Simply supported,1/1/1962
B2435,OLIFANTS RIVER AT KRANTZ,Bridge,Bridge - Arch,11/7/2003,TR01105,47.84,,165.6,8.4,6,Arch,1/1/1957
