Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,Municipality,Analysis Date,Inspection Date,Asset Value (Depreciated),Asset Value (ACI),Replacement Cost,Maintenance Cost,Depreciation Cost,Unit Cost,Length of Bridge Deck  (m),Width of Bridge Deck  (m),Maximum Height Pier/Abutment (m),Maximum Span Length(m),Overall Length Culvert (m),Overall Width Culvert (m),Max Fill Height Culvert,Max Height of Retaining Wall (m),Area_Wall_RW,Total_Length_GA,Horizontal_Length_GA,Overall_Height_TU,Overall_Length_TU,Overall_Width_TU,FctHt,Fct_TypeBridge,DeprValue,Age
B4113,BRIDGE AT OLD OAK INTERCHANGE,Bridge,Bridge,11/12/2019,TR00901,18.71,City of Cape Town (LMB),6/30/2022,11/12/2019,47746677,55313121,56172560,0,8425883,31880,88.1,20,7,,,,,,,,,,,,,1,0.85,15
B4116,VOELVLEI IRRIGATION CANAL NO 4,Bridge,Bridge,11/20/2019,TR02303,0.83,Drakenstein,6/30/2022,11/20/2019,1636851,3409674,3537373,4490,1896032,31880,10.37,10.7,2.15,,,,,,,,,,,,,1,0.46,59
B4126,VOELVLEI CANAL,Bridge,Bridge,11/20/2019,DR01455,0.26,Drakenstein,6/30/2022,11/20/2019,1562937,3269932,3353776,6630,1784209,31880,10,10.52,3.17,,,,,,,,,,,,,1,0.47,58
B4129,Serpentine River,Bridge,Bridge,11/9/2019,MR00352,1.03,George,6/30/2022,11/9/2019,6519634,13470320,13470320,0,6950686,31880,39.6,10.67,3.66,,,,,,,,,,,,,1,0.48,54
B4131,BRIDGE OVER GAMKA RIVER,Bridge,Bridge,11/13/2019,TR03305,104.33,Beaufort West,6/30/2022,11/13/2019,8621008,16870052,19682710,511770,10549934,31880,49,12.6,4.88,,,,,,,,,,,,,1,0.46,59
B4131A,BRIDGE OVER GAMKA RIVER TRIBUTARY  AT BEAUFORT WEST,Bridge,Bridge,11/13/2019,TR03305,104.86,Beaufort West,6/30/2022,11/13/2019,3359273,6643879,7832916,275200,4198443,31880,19.5,12.6,4.27,,,,,,,,,,,,,1,0.46,59
B4134,WIEDOUWS RIVER,Bridge,Bridge,1/8/2002,TR01105,66.13,,6/30/2022,1/8/2002,4882763,8202664,10651430,59498.6,5709165,31880,25.8,12.95,4.15,,,,,,,,,,,,,1,0.46,59
B4135,Charles Searle Brige over Great Brak River,Bridge,Bridge,11/7/2019,MR00348,2.35,Mossel Bay,6/30/2022,11/7/2019,19391614,40722594,42142810,499790,22251404,31880,129.6,10.2,2.02,,,,,,,,,,,,,1,0.47,57
B4136,ROAD OVER RAIL AT HERMON,Bridge,Bridge,11/26/2019,TR02401,24.17,Drakenstein,6/30/2022,11/26/2019,9598903,18097865,19727340,28040,10100401,31880,45.5,13.6,6.47,,,,,,,,,,,,,1,0.49,53
B4144,BRIDGE OVER DROE RIVER,Bridge,Bridge,11/14/2019,TR03305,107.92,Beaufort West,6/30/2022,11/14/2019,2973324,5501317,6923380,266817,3683238,31880,17.1,12.7,2.6,,,,,,,,,,,,,1,0.47,58
B4145,BRIDGE OVER LOMBAARDKRAAL RIVER,Bridge,Bridge,11/13/2019,TR03305,95.75,Beaufort West,6/30/2022,11/13/2019,4274812,7916500,10162390,481185,5406391,31880,25.1,12.7,3.53,,,,,,,,,,,,,1,0.47,58
B4146, Bridge over Welgersbos River at SV16.55,Bridge,Bridge,11/5/2019,TR07301+,16.55,Prince Albert,6/30/2022,11/5/2019,12051138,24411144,26330650,482250,13797260,31880,79.8,10.35,4.29,,,,,,,,,,,,,1,0.48,56
B4148,DOORN RIVER BRIDGE,Bridge,Bridge,11/1/2019,DR01347+,11.84,Breede Vallei,6/30/2022,11/1/2019,5688520,9594452,13517120,691560,7137040,31880,40,10.6,5.15,,,,,,,,,,,,,1,0.47,57
B4149,BRIDGE OVER RAIL AT WELTEVREDEN,Bridge,Bridge,11/14/2019,TR03305,108.5,Beaufort West,6/30/2022,11/14/2019,3686936,7287853,7950096,160910,4102250,47800,13.2,12.6,8.39,,,,,,,,,,,,,1,0.48,54
B4151,Da Nova Interchange,Bridge,Bridge,11/5/2019,TR03301,6.96,Mossel Bay,6/30/2022,11/5/2019,5329503,11193501,11527810,19400,6178905,31880,28.25,12.8,6.8,,,,,,,,,,,,,1,0.46,59
B4152,ROAD OVER ROAD AT CLANWILLIAM,Bridge,Bridge,11/8/2001,TR01104,96.3,,6/30/2022,11/8/2001,1,10788499,14514330,23401160,7721622,31880,33.6,13.55,6.3,,,,,,,,,,,,,1,0.47,58
B4155A,Platteklip River,Bridge,Bridge,11/18/2019,MR00224,1,Swartland,6/30/2022,11/18/2019,10877903,20524344,20524340,0,9646441,31880,18.5,34.8,2.5,,,,,,,,,,,,,1,0.53,47
B4173,ROAD OVER RAIL AT POOLS STATION,Bridge,Bridge,6/26/2001,TR01104,14.81,,6/30/2022,6/26/2001,1,5458390,8433854,55415080,4351869,31880,18.5,14.3,5.3,,,,,,,,,,,,,1,0.48,54
B4179,Bridge over Klapmuts River,Bridge,Bridge,11/19/2019,MR00174,35.4,City of Cape Town (LMB),6/30/2022,11/19/2019,6449371,12089870,12198440,15800,5733265,31880,28.9,13.24,3.6,,,,,,,,,,,,,1,0.53,47
B4180,JA LEEG RIVER,Bridge,Bridge,11/5/2019,MR00547+,55.43,Matzikama,6/30/2022,11/5/2019,2208332,6594868,7871650,1570060,4093258,31880,26.55,9.3,4,,,,,,,,,,,,,1,0.48,55
B4183,WILGE RIVER,Bridge,Bridge,11/22/2019,TR08801,46.18,George,6/30/2022,11/22/2019,3030527,6503520,6503520,13120,3459873,31880,20,10.2,7.36,,,,,,,,,,,,,1,0.47,58
B4189,MALKOPS RIVER,Bridge,Bridge,11/19/2019,DR01459+,1.12,Witzenberg,6/30/2022,11/19/2019,11375812,16085452,19797480,1096600,7325068,31880,57.5,10.8,6,,,,,,,,,,,,,1,0.63,37
B4194,BRIDGE OVER DOLFKRAAL RIVER NO 1,Bridge,Bridge,11/14/2019,TR07301,33.91,Beaufort West,6/30/2022,11/14/2019,7515026,13496202,17234330,619576,9099726,31880,53,10.2,3,,,,,,,,,,,,,1,0.47,57
B4196,SOETMELKSVLEI RIVER,Bridge,Bridge,11/11/2019,DR01303,16.45,Theewaterskloof,6/30/2022,11/11/2019,3207381,5840556,6215341,86750,2921210,31880,18.55,10.51,3.2,,,,,,,,,,,,,1,0.53,47
B4214,"DWARS RIVER AT KYLEMORE
",Bridge,Bridge,11/19/2019,DR01079,0.24,Stellenbosch,6/30/2022,11/19/2019,2021536,3830105,5867195,747780,3097879,31880,17.2,10.7,2.57,,,,,,,,,,,,,1,0.47,57
B4217,BRIDGE OVER DOLFKRAAL RIVER NO 2,Bridge,Bridge,11/14/2019,TR07301,33.65,Beaufort West,6/30/2022,11/14/2019,2782640,5516286,6503520,287021,3433859,31880,20,10.2,3.05,,,,,,,,,,,,,1,0.47,57
B4218,BRIDGE OVER DOLFKRAAL RIVER NO 3,Bridge,Bridge,11/14/2019,TR07301,33.42,Beaufort West,6/30/2022,11/14/2019,3786068,6979429,8649682,331180,4532434,31880,26.6,10.2,3.05,,,,,,,,,,,,,1,0.48,56
B4224,KNUY RIVER,Bridge,Bridge,11/20/2019,MR00356,1.18,Kannaland,6/30/2022,11/20/2019,10585626,17154143,22618860,0,12033234,31880,64.5,11,3.9,,,,,,,,,,,,,1,0.47,58
B4229,TROE-TROE RIVER,Bridge,Bridge,1/8/2002,TR01106,0.03,,6/30/2022,1/8/2002,16913462,25634745,36631530,376618,19341448,47800,58.5,13.1,8.3,,,,,,,,,,,,,1,0.47,57
B4231,RHENOSTER RIVER,Bridge,Bridge,11/5/2019,DR02250+,68.36,Witzenberg,6/30/2022,11/5/2019,9080887,17719942,18857020,45910,9730223,31880,65,9.1,4.1,,,,,,,,,,,,,1,0.48,54
B4241A,VARSCH RIVER NO 1,Bridge,Bridge,3/4/2002,TR01106,13.28,,6/30/2022,3/4/2002,3592510,6494688,8394323,369610,4432203,31880,20.1,13.1,3.5,,,,,,,,,,,,,1,0.47,57
B4241B,VARSCH RIVER NO 2,Bridge,Bridge,7/10/2001,TR01106,13.42,,6/30/2022,7/10/2001,4362545,6988658,10482460,585177,5534741,31880,25.1,13.1,3.5,,,,,,,,,,,,,1,0.47,57
B4246,BOSMANSDAM INTERCHANGE NO 1,Bridge,Bridge,11/21/2019,TR01101,1.27,City of Cape Town (LMB),6/30/2022,11/21/2019,13787463,21050593,26014080,0,12226617,31880,64,12.75,5.2,,,,,,,,,,,,,1,0.53,47
B4247,Refinery Interchange,Bridge,Bridge,11/21/2019,TR01101,4.16,City of Cape Town (LMB),6/30/2022,11/21/2019,12229750,18299846,24451960,729790,11492420,31880,59,13,4.77,,,,,,,,,,,,,1,0.53,47
B4249,GROOT RIVER,Bridge,Bridge,11/22/2019,MR00356,34.4,Kannaland,6/30/2022,11/22/2019,15476750,23537629,33852480,501620,17874110,31880,99.8,10.64,7.95,,,,,,,,,,,,,1,0.47,57
B4250,Ratel River Culvert,Bridge,Bridge,11/21/2019,DR01206+,6.32,Overstrand,6/30/2022,11/21/2019,4974221,7777311,9468360,44010,4450129,31880,33,9,3.15,,,,,,,,,,,,,1,0.53,47
B4253,KLEIN SWARTBERG RIVER NO 1,Bridge,Bridge,11/28/2019,MR00309,16.59,Laingsburg,6/30/2022,11/28/2019,2492881,4866128,5291570,4740,2793949,31880,15.2,10.92,4.2,,,,,,,,,,,,,1,0.47,57
B4253A,KLEIN SWARTBERG RIVER NO 2,Bridge,Bridge,11/28/2019,MR00309,16.51,Laingsburg,6/30/2022,11/28/2019,4132432,8380457,8758839,1740,4624667,31880,24.4,11.26,4.14,,,,,,,,,,,,,1,0.47,57
B4255,KANDELAARS RIVER,Bridge,Bridge,11/6/2019,DR01671+,3.88,Oudtshoorn,6/30/2022,11/6/2019,8745178,9176941,11404180,150080,2508919,31880,38.3,9.34,2.5,,,,,,,,,,,,,1,0.78,22
B4256,ROAD OVER ROAD AT VANRHYNSDORP,Bridge,Bridge,8/14/2001,TR01106,0.17,,6/30/2022,8/14/2001,7424031,13759223,17289800,805913.4,9059856,31880,41.4,13.1,7,,,,,,,,,,,,,1,0.48,56
B4258,SOUT RIVER,Bridge,Bridge,7/11/2001,TR01106,25.17,,6/30/2022,7/11/2001,29480127,56877134,68866860,3300495,36086234,31880,164.9,13.1,5,,,,,,,,,,,,,1,0.48,56
B4266,Bridge over Boesmans River at SV12.55,Bridge,Bridge,11/5/2019,TR07301+,12.55,Prince Albert,6/30/2022,11/11/2019,9083561,17209472,19614170,331240,10199369,31880,57.5,10.7,3.1,,,,,,,,,,,,,1,0.48,55
B4268,BRIDGE OVER GATS RIVER,Bridge,Bridge,11/19/2019,TR06501,19.12,Hessequa,6/30/2022,11/19/2019,4121388,10935204,12758380,1900565,6736423,31880,34.5,11.6,7,,,,,,,,,,,,,1,0.47,57
B4299,Brandwag River,Bridge,Bridge,11/7/2019,TR03301 ,6.96,Mossel Bay,6/30/2022,11/7/2019,12710815,24618905,27104380,516120,13877441,31880,78,10.9,5.36,,,,,,,,,,,,,1,0.49,53
B4313,KROM RIVER AT ADDYS,Bridge,Bridge,11/21/2019,DR01152,24.2,,6/30/2022,11/21/2019,2387592,4437210,5470608,238300,2844716,31880,13,13.2,3.6,,,,,,,,,,,,,1,0.48,55
B4315,ROAD OVER RAIL AT ROMANS RIVER,Bridge,Bridge,11/8/2019,MR00201+,8.65,Witzenberg,6/30/2022,11/8/2019,5414037,10738538,11205820,9580,5782203,31880,9.5,37,5.2,,,,,,,,,,,,,1,0.48,54
B4328,Droekloof River No 5,Bridge,Bridge,11/18/2019,TR03305+,5.19,Prince Albert,6/30/2022,11/14/2019,3047525,6437108,8263296,852750,4363021,31880,20,12.96,3.5,,,,,,,,,,,,,1,0.47,57
B4329,Droe Kloof River No. 4,Bridge,Bridge,11/14/2019,TR03305+,4.78,Prince Albert,6/30/2022,11/14/2019,9548432,18181309,22393530,1021315,11823785,31880,54.2,12.96,3.5,,,,,,,,,,,,,1,0.47,57
B4330,Droe Kloof River No 3,Bridge,Bridge,11/14/2019,TR03305+,4.37,Prince Albert,6/30/2022,11/14/2019,3922757,8122209,10411750,991590,5497406,31880,25.2,12.96,4.12,,,,,,,,,,,,,1,0.47,57
B4331,Droe Kloof River No 2,Bridge,Bridge,11/14/2019,TR03305+,3.77,Prince Albert,6/30/2022,12/3/2019,3948654,7481382,10329120,926690,5453776,31880,25,12.96,5,,,,,,,,,,,,,1,0.47,57
B4332,Droe Kloof River No 1,Bridge,Bridge,11/15/2019,TR03305+,3.51,Prince Albert,6/30/2022,11/15/2019,3339884,7677635,10329120,1535460,5453776,31880,25,12.96,5.73,,,,,,,,,,,,,1,0.47,57
B4334,BERG RIVIER,Bridge,Bridge,11/20/2019,MR00207,1.46,Drakenstein,6/30/2022,11/20/2019,17649313,33251080,44269840,4131450,22489081,31880,105.2,13.2,6,,,,,,,,,,,,,1,0.49,52
B4340,BONTEHEUWEL PEDESTRIAN OVERPASS,Bridge,Bridge,11/13/2019,TR00201,9.74,City of Cape Town (LMB),6/30/2022,11/13/2019,6322134,10290950,12098460,90050,5686276,31880,138,2.75,6.5,,,,,,,,,,,,,1,0.53,47
B4342,GAMKA RIVER,Bridge,Bridge,11/20/2019,TR03105,40.15,Kannaland,6/30/2022,12/4/2019,31161247,55167937,63985080,63470,32760363,47800,97,13.8,8.07,,,,,,,,,,,,,1,0.49,53
B4374,Groot River ,Bridge,Bridge Cellular,11/15/2019,TR03305+,1,Prince Albert,6/30/2022,11/15/2019,5405956,9067817,11909400,563630,5939814,25890,,,,,20,23,2,,,,,,,,,,0.5,57
B4376,OLIFANTS RIVER,Bridge,Bridge,11/6/2019,MR00358+,14.02,Oudtshoorn,6/30/2022,11/6/2019,42163907,61445700,80542270,523500,37854865,31880,237,10.66,5,,,,,,,,,,,,,1,0.53,47
B4379,ROAD OVER RAIL AT EENDEKUIL,Bridge,Bridge,11/19/2019,MR00537+,7.85,Bergrivier,6/30/2022,11/19/2019,1400632,2941385,3082567,79000,1602935,31880,8.92,10.84,5.3,,,,,,,,,,,,,1,0.48,55
B4380,ROAD OVER RAIL NEAR TROE-TROE,Bridge,Bridge,11/8/2019,MR00548+,2.47,Matzikama,6/30/2022,11/8/2019,2172508,6406075,6822958,1307200,3343249,31880,16.4,13.05,5.44,,,,,,,,,,,,,1,0.51,49
B4388,BRIDGE OVER RAIL AT GRAAFWATER,Bridge,Bridge,11/11/2019,B4388,30.3,Cederberg,6/30/2022,11/11/2019,1500762,2642273,3349313,147100,1701451,31880,10.2,10.3,5.32,,,,,,,,,,,,,1,0.49,52
B4406,FIRGROVE INTERCHANGE,Bridge,Bridge,11/11/2019,TR00201,36.12,City of Cape Town (LMB),6/30/2022,11/11/2019,20614365,32485716,41557780,1411260,19532155,31880,72.3,18.03,6.9,,,,,,,,,,,,,1,0.53,47
B4411,BRIDGE OVER CONSTANTIA MAIN ROAD - ALPHEN INTERCHANGE,Bridge,Bridge,11/21/2019,MR00106,15.81,City of Cape Town (LMB),6/30/2022,11/21/2019,24590538,43779510,46698140,159480,21948126,31880,47.1,31.1,7,,,,,,,,,,,,,1,0.53,47
B4413,KENDAL ROAD INTERCHANGE ON M3,Bridge,Bridge,11/21/2019,MR00106,17,City of Cape Town (LMB),6/30/2022,11/21/2019,14402533,24522306,27463660,153210,12907921,31880,55.4,15.55,6.5,,,,,,,,,,,,,1,0.53,47
B4417,Bridge over Tokai Road (M3),Bridge,Bridge,11/21/2019,MR00106,21.76,City of Cape Town (LMB),6/30/2022,11/21/2019,28414068,48267030,53923620,165450,25344098,31880,49.4,34.24,6.5,,,,,,,,,,,,,1,0.53,47
B4420,Little Brak River,Bridge,Bridge,11/7/2019,MR00344,4.83,Mossel Bay,6/30/2022,11/7/2019,7251282,14738379,14738380,0,7487097,31880,73.15,6.32,3.7,,,,,,,,,,,,,1,0.49,52
B4421B,"EERSTE RIVER
",Bridge,Bridge,11/13/2019,MR00027,33.78,Stellenbosch,6/30/2022,11/13/2019,6272922,10308101,17301280,2031690,8996664,31880,22.5,24.12,2.2,,,,,,,,,,,,,1,0.48,55
B4422A,KOOPMANS RIVER CULVERT,Bridge,Bridge,11/22/2019,TR02302,5.61,Drakenstein,6/30/2022,11/22/2019,4817895,9489210,10176100,148040,5210161,31880,19,16.8,5.5,,,,,,,,,,,,,1,0.49,53
B4424,TROE-TROE RIVER,Bridge,Bridge,11/7/2019,DR02203+,0.56,Matzikama,6/30/2022,11/7/2019,6155415,12026870,13088330,519635,6413284,31880,39.1,10.5,3.53,,,,,,,,,,,,,1,0.51,49
B4433,ROAD OVER RAIL AT ORCHARD,Bridge,Bridge,10/31/2019,DR01438+,6.48,Breede Vallei,6/30/2022,10/31/2019,5625954,11704653,12496960,522550,6348456,31880,35,11.2,6.71,,,,,,,,,,,,,1,0.49,52
B4439,Bill Bezuidenhout Road over Road,Bridge,Bridge,11/20/2019,TR00901,17.4,City of Cape Town (LMB),6/30/2022,11/20/2019,28064508,51220388,53166280,113620,24988148,31880,65.4,25.5,7.2,,,,,,,,,,,,,1,0.53,47
B4456,PHILIPPI ROAD OVERPASS,Bridge,Bridge,11/13/2019,TR00201,16.69,City of Cape Town (LMB),6/30/2022,11/13/2019,4253349,6827161,8247356,117750,3876257,31880,6.5,39.8,6,,,,,,,,,,,,,1,0.53,47
B4462,Rail Over Road at Picaltsdorp,Bridge,Bridge,11/18/2019,MR00349,0.35,George,6/30/2022,11/18/2019,10262038,18589001,22752760,1114340,11376378,31880,54.9,13,5.8,,,,,,,,,,,,,1,0.5,50
B4467,KRUIS RIVER NO 2,Bridge,Bridge,11/21/2019,MR00363,6.28,Kannaland,6/30/2022,11/21/2019,3397264,6414376,8708086,678120,4632702,31880,25.6,10.67,3,,,,,,,,,,,,,1,0.47,58
B4468,GROBBELAARS RIVER,Bridge,Bridge,11/4/2019,DR01693+,0.29,Oudtshoorn,6/30/2022,11/4/2019,5582372,9427992,10779780,130910,5066494,31880,38.6,8.76,5.33,,,,,,,,,,,,,1,0.53,47
B4469,BRIDGE OVER N1 (ZANDWYK STREET),Bridge,Bridge,11/27/2019,MR00214,0.28,,6/30/2022,11/27/2019,16117528,30231862,34801270,587080,18096660,47800,61.7,11.8,8.52,,,,,,,,,,,,,1,0.48,55
B4492,BRIDGE OVER KARS RIVER TRIBUTARY,Bridge,Bridge,12/8/2019,DR01230+,0.95,Cape Agulhas,6/30/2022,11/19/2019,1304442,2369758,2725740,140200,1281098,31880,9.5,9,5.3,,,,,,,,,,,,,1,0.53,47
B4493,Sand River ,Bridge,Bridge,11/15/2019,TR03304+,23.69,Prince Albert,6/30/2022,11/15/2019,3416362,6234923,9006100,942590,4647148,31880,25,11.3,3.25,,,,,,,,,,,,,1,0.48,54
B4494,OLD CAPE ROAD OVERPASS,Bridge,Bridge,11/14/2019,TR03305,108.61,Beaufort West,6/30/2022,11/14/2019,1111152,1855980,2403497,52140,1240205,31880,6.08,12.4,6.1,,,,,,,,,,,,,1,0.48,54
B4502,BRIDGE OVER OLIFANTS RIVER,Bridge,Bridge,11/11/2019,MR00310,112.24,Cederberg,6/30/2022,11/11/2019,6524000,10663525,12911400,577270,5810130,31880,30,13.5,3.4,,,,,,,,,,,,,1,0.55,45
B4502A,BRIDGE OVER OLIFANTS RIVER,Bridge,Bridge,12/8/2019,MR00310,112.39,Cederberg,6/30/2022,12/8/2019,29963730,53313142,54529140,27300,24538114,31880,126.7,13.5,6.7,,,,,,,,,,,,,1,0.55,45
B4513,BRIDGE OVER OLIFANTS RIVER,Bridge,Bridge,11/13/2019,TR05501,2.4,Cederberg,6/30/2022,11/13/2019,24334114,48150645,49547900,43450,25170332,31880,163.6,9.5,7.52,,,,,,,,,,,,,1,0.49,52
B4515,SWARTBERG RIVER,Bridge,Bridge,11/18/2019,MR00365,13.1,Kannaland,6/30/2022,11/18/2019,4737988,8468009,10225830,170410,5317431,31880,29.7,10.8,1.9,,,,,,,,,,,,,1,0.48,55
B4516,BRIDGE CELLULAR  OVER GROOTRIVIER,Bridge,Bridge Cellular,11/19/2019,TR03304+,27.22,Prince Albert,6/30/2022,11/15/2019,6306783,10807275,12038850,43710,5688357,25890,,,,,31,15,1,,,,,,,,,,0.53,54
B4523,BRAND RIVER,Bridge,Bridge,11/21/2019,TR08301,41.22,Kannaland,6/30/2022,11/21/2019,9086705,15586807,19451900,1611840,8753355,31880,52.6,11.6,4.95,,,,,,,,,,,,,1,0.55,45
B4543,BRIDGE OVER KARS RIVER,Bridge,Bridge,12/8/2019,MR00265+,6,Cape Agulhas,6/30/2022,11/19/2019,5797134,12549671,12720120,3240,6919746,31880,38,10.5,5,,,,,,,,,,,,,1,0.46,61
B4544A,KOMPANJIES RIVER,Bridge,Bridge,11/22/2019,MR00023,3.02,Drakenstein,6/30/2022,11/22/2019,2494908,10720151,12278260,58970,9724385,31880,29.4,13.1,4.91,,,,,,,,,,,,,1,0.21,123
B4545A,"BERG RIVER (LOUW BRIDGE)
",Bridge,Bridge,12/5/2019,TR02401,22.92,Drakenstein,6/30/2022,12/5/2019,38801812,73178777,79524860,6320,40716732,47800,127,13.1,8.63,,,,,,,,,,,,,1,0.49,53
B4596,DONKIES RIVER AT VERKEERDEVLEI,Bridge,Bridge,10/29/2019,TR02202+,70.28,Breede Vallei,6/30/2022,10/29/2019,3147762,5867654,7204880,339400,3717718,31880,20,11.3,5.8,,,,,,,,,,,,,1,0.48,54
B4600A,BRIDGE OVER KARS RIVER,Bridge,Bridge,12/3/2019,DR01226+,21.1,Cape Agulhas,6/30/2022,11/22/2019,5073812,8723235,9819040,130280,4614948,31880,28,11,4.7,,,,,,,,,,,,,1,0.53,47
B4601,POESJENELS RIVER,Bridge,Bridge,11/29/2019,DR01355,1.76,Langeberg,6/30/2022,11/29/2019,4734618,8959173,10520400,483500,5302282,31880,30,11,4.1,,,,,,,,,,,,,1,0.5,51
B4603,JA LEEG RIVER,Bridge,Bridge Cellular,11/5/2019,DR02224+,1.05,Matzikama,6/30/2022,11/5/2019,8455969,14583838,18089600,1244580,8389053,25890,,,,,65.3,10.7,0,,,,,,,,,,0.54,53
B4607,BRIDGE OVER HEUNINGSNES RIVER,Bridge,Bridge,12/5/2019,MR00261+,17.44,Cape Agulhas,6/30/2022,11/21/2019,11167963,20605734,21232080,85040,9979077,31880,55.5,12,6,,,,,,,,,,,,,1,0.53,47
B4611,BRIDGE OVER GABRIEL STREAM,Bridge,Bridge,11/12/2019,TR01608,46.16,Beaufort West,6/30/2022,11/12/2019,10790160,18521700,22985480,334812,11860508,31880,70,10.3,4.1,,,,,,,,,,,,,1,0.48,54
B4612,BRIDGE OVER BRAKVALLEI RIVER,Bridge,Bridge,11/12/2019,TR01609,17.45,Beaufort West,6/30/2022,11/12/2019,8857226,17369300,19307800,487751,9962827,31880,58.8,10.3,5.25,,,,,,,,,,,,,1,0.48,54
B4613,BRIDGE OVER TRIBUTARY BRAKVALLEI RIVER,Bridge,Bridge,11/12/2019,  TR01609,18.92,Beaufort West,6/30/2022,11/12/2019,2945629,5849955,6568555,259826,3363100,31880,20.2,10.2,3.49,,,,,,,,,,,,,1,0.49,53
B4614,BRIDGE OVER BUFFALO RIVER,Bridge,Bridge,11/11/2019,TR01609,26.94,Beaufort West,6/30/2022,11/11/2019,16257863,29559300,34129200,397186,17474151,47800,70,10.2,9.36,,,,,,,,,,,,,1,0.49,53
B4615,BRIDGE OVER UITKYKSPRUIT RIVER,Bridge,Bridge,11/11/2019,TR01609,39.5,Beaufort West,6/30/2022,11/11/2019,5276815,10326523,11985290,572004,6136467,31880,36.5,10.3,3.3,,,,,,,,,,,,,1,0.49,53
B4617A,24 RIVERS AT HALFMANSHOF NO 8,Bridge,Bridge,11/20/2019,TR02303,18.83,Drakenstein,6/30/2022,11/20/2019,4792980,7507273,8921299,292160,3836159,31880,21.2,13.2,2.96,,,,,,,,,,,,,1,0.57,43
B4617B,24 Rivers at Halfmanshof No. 7,Bridge,Bridge,11/20/2019,TR02303+,19.75,Bergrivier,6/30/2022,11/20/2019,5594038,9866259,10091300,158000,4339257,31880,23.8,13.3,4.8,,,,,,,,,,,,,1,0.57,43
B4617C,24 Rivers at Halfmanshof No. 6,Bridge,Bridge,11/20/2019,TR02303+,19.84,Bergrivier,6/30/2022,11/20/2019,11869395,20618726,20852270,16400,8966477,47800,32.8,13.3,8.66,,,,,,,,,,,,,1,0.57,43
B4617D,24 Rivers at Halfmanshof No. 5,Bridge,Bridge,11/20/2019,TR02303+,19.9,Bergrivier,6/30/2022,11/20/2019,5642375,9949169,10176100,158000,4375721,31880,24,13.3,7.66,,,,,,,,,,,,,1,0.57,43
B4617E,24 Rivers at Halfmanshof No. 4,Bridge,Bridge,11/20/2019,TR02303+,20,Bergrivier,6/30/2022,11/20/2019,14913193,26537885,26966650,457800,11595661,31880,63.6,13.3,6.66,,,,,,,,,,,,,1,0.57,43
B4617F,24 Rivers at Halfmanshof No. 3,Bridge,Bridge,11/20/2019,TR02303+,20.44,Bergrivier,6/30/2022,11/20/2019,9533637,16913588,17299360,327000,7438727,31880,40.8,13.3,6.14,,,,,,,,,,,,,1,0.57,43
B4621,ROAD OVER RAIL AT VINK RIVER,Bridge,Bridge,11/18/2019,TR03101,36.42,Langeberg,6/30/2022,11/18/2019,3715215,6937076,7637428,11850,3910363,31880,16.8,14.26,5.68,,,,,,,,,,,,,1,0.49,53
B4629,Kreedousberg River Armco,Bridge,Bridge Cellular,11/15/2019,TR03402+,24.78,Prince Albert,6/30/2022,11/15/2019,6911246,7588649,8948878,236670,1800962,25890,,,,,22.3,15.5,1.5,,,,,,,,,,0.8,23
B4641,ROAD OVER RAIL NEAR BOONTJIESKRAAL,Bridge,Bridge,1/1/2000,MR00276,1.67,Theewaterskloof,6/30/2022,,,,,,,31880,0,0,0,,,,,,,,,,,,,1,0.53,47
B4657,Gerolms River Armco Bridge,Bridge,Bridge Cellular,11/16/2019,TR0582+,15.2,Prince Albert,6/30/2022,11/16/2019,5434774,7447040,8977746,1736200,1806772,25890,,,,,22.3,15.55,1.2,,,,,,,,,,0.8,23
B4669,KNUY RIVER,Bridge,Bridge,11/21/2019,TR08301,66.85,Kannaland,6/30/2022,11/21/2019,15125001,25576967,30987360,120780,15741579,31880,90,10.8,4.3,,,,,,,,,,,,,1,0.49,52
B4674,ROAD OVER RAIL AT GOUDINI STATION,Bridge,Bridge,11/11/2019,MR00299+,1.16,Witzenberg,6/30/2022,11/11/2019,8003603,14209838,16840290,281820,8554869,31880,42.6,12.4,5.8,,,,,,,,,,,,,1,0.49,52
B4676,PROPOSED BRIDGE OVER BEESJES FONTEIN SPRUIT,Bridge,Bridge,1/1/2000,DR01171,13.49,Swartland,6/30/2022,,,,,,,31880,0,0,0,,,,,,,,,,,,,1,0.53,47
B4677,SMALBLAAR RIVER,Bridge,Bridge,11/26/2019,MR00298+,14.43,Breede Vallei,6/30/2022,11/26/2019,40165113,77971375,92789930,5487530,47137285,31880,231,12.6,3.2,,,,,,,,,,,,,1,0.49,52
B4691,BRIDGE OVER OLIFANTS RIVER,Bridge,Bridge,11/5/2019,TR07501+,30.02,Oudtshoorn,6/30/2022,11/5/2019,48855208,84140869,93189580,535270,43799098,31880,222.8,13.12,6,,,,,,,,,,,,,1,0.53,47
B4693,Klein Swart River,Bridge,Bridge,11/9/2019,MR00355,3.33,George,6/30/2022,11/9/2019,5254917,6532148,6758560,16760,1486883,31880,20,10.6,6.7,,,,,,,,,,,,,1,0.78,22
B4694A,VINK RIVER,Bridge,Bridge,11/18/2019,TR03101,35.81,Langeberg,6/30/2022,11/18/2019,5083602,10438608,12388570,169150,7135816,31880,29,13.4,4.84,,,,,,,,,,,,,1,0.42,69
